title,price,excerpt,images,categories,tags,type,visibility,status,description
Escabeche de GIRGOLAS (chico),5000,Contenido: 200 cc,escabeche-de-girgolas-chico.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"El <strong>Escabeche</strong> es un método de conservación de alimentos en <strong>vinagre</strong>. Se llama así también al alimento así obtenido. El método para procesar un alimento en escabeche está dentro de las operaciones denominadas en cocina como <strong>Marinado</strong>. De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestros Escabeches son creación de la Naturaleza y nosotros sólo somos el medio que elegistes para acercarlos a tu mesa.

Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta y las fortalecemos con nuestras Gírgolas de estación al 50% en peso.En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Si son amante de las Gírgolas, este es tu producto. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Escabeche de GALLINA,5000,Contenido: 360 cc,escabeche-de-gallina.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,unpublish,"El <strong>Escabeche</strong> es un método de conservación de alimentos en <strong>vinagre</strong>. Se llama así también al alimento así obtenido. El método para procesar un alimento en escabeche está dentro de las operaciones denominadas en cocina como <strong>Marinado</strong>.

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestros Escabeches son creación de la Naturaleza y nosotros sólo somos el medio que elegistes para acercarlos a tu mesa.

Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Ají dulce en vinagre,4000,Contenido: 360 cc,aji-dulce-en-vinagre.jpeg,Productos Elaborados>Conservas de Hortalizas>Vinagre,vinagre,simple,featured,unpublish,"El <strong>Vinagre</strong> es un método de conservación de alimentos con gusto argentino. Las conservas en vinagre no podían estar ausentes en nuestro Almacén. Pepinillos, Ajíes, Morrones y unos Pickles se encaminan a tu mesa a un ""click"" de distancia"".

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"".

Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Escabeche de GIRGOLAS,8000,Contenido: 360 cc,escabeche-de-girgolas.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,unpublish,"El <strong>Escabeche</strong> es un método de conservación de alimentos en <strong>vinagre</strong>. Se llama así también al alimento así obtenido. El método para procesar un alimento en escabeche está dentro de las operaciones denominadas en cocina como <strong>Marinado</strong>. De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestros Escabeches son creación de la Naturaleza y nosotros sólo somos el medio que elegistes para acercarlos a tu mesa.

Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta y las fortalecemos con nuestras Gírgolas de estación al 50% en peso.En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Si son amante de las Gírgolas, este es tu producto. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Pepinillos en vinagre,8000,Contenido: 360 cc,pepinillos-en-vinagre.jpeg,Productos Elaborados>Conservas de Hortalizas>Vinagre,vinagre,simple,featured,publish,"El <strong>Vinagre</strong> es un método de conservación de alimentos con gusto argentino. Las conservas en vinagre no podían estar ausentes en nuestro Almacén. Pepinillos, Ajíes, Morrones y unos Pickles se encaminan a tu mesa a un ""click"" de distancia"". De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"".

Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Morrón en aceite 360cc,3000,Contenido: 360 cc,morron-en-aceite-360cc.jpeg,Productos Elaborados>Conservas de Hortalizas,aceite,simple,featured,draft,"Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Chutney de TOMATE suave,3500,Contenido: 360 cc,chutney-de-tomate-suave.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,draft,"El <strong>Vinagre</strong> es un método de conservación de alimentos con gusto argentino. Las conservas en vinagre no podían estar ausentes en nuestro Almacén. El <strong>Chutney</strong> es un condimento agridulce, una especie de confitura que se elabora con frutas o verduras cocidas en vinagre, con especias y azúcar. Es una bomba de sabor originaria de La India, donde se denomina <em>chatni</em> y significa “para chupar” en el sentido de “chuparse los dedos”. Aunque la receta de Janus se aleja mucho de las originales, realza el sabor de los tomates en sus 2 preparaciones: ""Suave"" e ""Intenso"".

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Se recomienda consumir con carnes, pero vos le vas a encontrar la modalidad de tu preferencia.  Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Chutney de TOMATE intenso,3000,Contenido: 160 cc,chutney-de-tomate-intenso.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"El <strong>Vinagre</strong> es un método de conservación de alimentos con gusto argentino. Las conservas en vinagre no podían estar ausentes en nuestro Almacén. El <strong>Chutney</strong> es un condimento agridulce, una especie de confitura que se elabora con frutas o verduras cocidas en vinagre, con especias y azúcar. Es una bomba de sabor originaria de La India, donde se denomina <em>chatni</em> y significa “para chupar” en el sentido de “chuparse los dedos”. Aunque la receta de Janus se aleja mucho de las originales, realza el sabor de los tomates en sus 2 preparaciones: ""Suave"" e ""Intenso"".

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir con carnes, pero le vas a encontrar la combinación de tu preferencia.. No es picante, es ""Intenso"". Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Puré de MANZANA,3000,Contenido: 200 gr,pure-de-manzana.jpeg,Productos Elaborados>Conservas de Frutas,,simple,featured,unpublish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Frutas biodinámicas cosechadas en su punto óptimo de madurez. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Sin agregado de azúcar, las manzanas rojas son dulces por si mismas y de poca acidez. Para bebés o para acompañar  carnes asadas; aunque seguro le vas a encontrar la combinación de tu preferencia. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Huevos de GALLINA (Mix Janus-Ruca Lihue),264,Contenido: 6 unidades. En invierno la postura es reducida. Eventualmente algunas entregas se realizarán con demoras.,huevos-de-gallina-mix-janus-ruca-lihue.jpeg,Productos Frescos>Granja,,simple,featured|outofstock,draft,"Una limitada cantidad de gallinas pastoreando bajo manzanos se alimentan con granos y pasturas biodinámicas produciendo limitadas cantidades de huevos de tamaño mediano a pequeño pero de condición superlativa.

De color y tamaño desuniformes, estos huevos son producto de la Naturaleza ya que nuestras gallinas regulan su postura en armonía con los ciclos estacionales.

Las posturas son diarias pero no siempre tenemos para entregar. Si no alcanzamos a reunir la cantidad necesaria para cumplir con tu pedido te queda la reserva confirmada para entregarte en cuanto contemos con ellos. ¡Gracias por tu comprensión!

&nbsp;"
Huevos de GANSO,240,Contenido: 1 unidad,huevos-de-ganso.jpeg,Productos Frescos>Granja,,simple,featured,draft,"Atentos vigilantes de la armonía en el corral, se pasean elegantes por el corredor externo sin dejar de percibir ningún movimiento extraño. Se ganan la vida ofreciéndonos esos maravillosos huevos, más de 3 veces del tamaño de uno de gallina.

Alimentados de pasturas, granos y frutas biodinámicas, sus huevos nos sorprenden no sólo por su tamaño sino también por su calidad. Probarlos es homenajearlos reconociendo su valiosa participación en la armonía de nuestra Granja Biodinámica.

&nbsp;"
Huevos de PATO,240,Contenido: 2 unidades,huevos-de-pato.jpeg,Productos Frescos>Granja,,simple,featured|outofstock,draft,"Atentos vigilantes de la armonía en el corral, disfrutan del estanque sin dejar de percibir ningún movimiento extraño. Se ganan la vida ofreciéndonos esos maravillosos huevos, casi 2 veces más grandes de uno de gallina.

Alimentados de pasturas, granos y frutas biodinámicas, sus huevos nos sorprenden no sólo por su tamaño sino también por su calidad. Probarlos es homenajearlos reconociendo su valiosa participación en la armonía de nuestra Granja Biodinámica.

&nbsp;"
Ricota,5000,Contenido: 500 gr,ricota.jpeg,Productos Frescos>Lácteos,,simple,featured,publish,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe. Sin agregado de sal ni azúcar, puede adaptarse a preparaciones dulces o saladas condimentando a gusto.

Al no contener conservantes es necesario mantener en heladera y consumir en menos de una semana.

Todos nuestros productos elaborados tienen un número de referencia sellado en la tapa para asegurar su trazabilidad ante cualquier duda, consulta o comentario sobre ellos."
Queso FRESCO,600,Contenido: 250 gr,queso-fresco.jpeg,Productos Frescos>Lácteos,,simple,featured,draft,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe y te lo entregamos sin estacioinamiento. ¡Es un concentrado de leche fresca!

Apenas salado, puede acompañarte en todas las comidas del día.

&nbsp;"
Queso CREMOSO,5200,Contenido: ~300 gr,queso-cremoso.jpeg,Productos Frescos>Lácteos,,simple,featured,unpublish,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe y te lo entregamos sin estacioinamiento. ¡Es un concentrado de leche fresca!

Apenas salado, puede acompañarte en todas las comidas del día.

&nbsp;"
Queso SEMIDURO,12000,Contenido: ~300 gr.,queso-semiduro.jpeg,Productos Frescos>Lácteos,,simple,featured,unpublish,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe y te lo entregamos luego de un estacionamiento de 45  60 días, más durito y salado que un queso fresco. Entre 250 y 300 gramos."
